iShares S&P 100 ETF
Fund Holdings as of,"Sep 02, 2020"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"44,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","799,438,914.00","10.67","799,438,914.00","6,084,010.00","037833100","US0378331005","2046251","131.40","United States","NASDAQ","USD","1.00","-","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","655,782,618.00","8.75","655,782,618.00","2,830,920.00","594918104","US5949181045","2588173","231.65","United States","NASDAQ","USD","1.00","-","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","552,318,780.00","7.37","552,318,780.00","156,400.00","023135106","US0231351067","2000019","3,531.45","United States","NASDAQ","USD","1.00","-","USD"
"FB","FACEBOOK CLASS A INC","Communication","Equity","271,528,840.00","3.62","271,528,840.00","897,616.00","30303M102","US30303M1027","B7TL820","302.50","United States","NASDAQ","USD","1.00","-","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","192,363,136.51","2.57","192,363,136.51","112,009.00","02079K305","US02079K3059","BYVY8G0","1,717.39","United States","NASDAQ","USD","1.00","-","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","188,695,338.68","2.52","188,695,338.68","109,181.00","02079K107","US02079K1079","BYY88Y7","1,728.28","United States","NASDAQ","USD","1.00","-","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","160,875,614.48","2.15","160,875,614.48","725,711.00","084670702","US0846707026","2073390","221.68","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","151,289,959.04","2.02","151,289,959.04","983,488.00","478160104","US4781601046","2475833","153.83","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"V","VISA INC CLASS A","Information Technology","Equity","136,342,567.68","1.82","136,342,567.68","629,816.00","92826C839","US92826C8394","B2PZN04","216.48","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NVDA","NVIDIA CORP","Information Technology","Equity","131,773,750.22","1.76","131,773,750.22","229,627.00","67066G104","US67066G1040","2379504","573.86","United States","NASDAQ","USD","1.00","-","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","129,854,845.68","1.73","129,854,845.68","924,168.00","742718109","US7427181091","2704407","140.51","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","119,005,029.60","1.59","119,005,029.60","329,928.00","57636Q104","US57636Q1040","B121557","360.70","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","115,629,009.65","1.54","115,629,009.65","1,137,521.00","46625H100","US46625H1005","2190385","101.65","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","115,311,374.40","1.54","115,311,374.40","401,502.00","437076102","US4370761029","2434209","287.20","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
