"Date","AAPL","MSFT","AMZN","GOOGL","BRK-B","JNJ","NVDA","PG","MA","JPM","HD","UNH","ADBE","VZ","CRM","DIS","NFLX","INTC","MRK","T","WMT","PFE","CMCSA","BAC","PEP","KO","ABT","CSCO","TMO","XOM","MCD","COST","ACN","CVX","AMGN","MDT","NKE","NEE","BMY","QCOM","TXN","UNP","DHR","LOW","LLY","ORCL","HON","UPS","IBM","AMT","C","SBUX","LMT","MMM","BLK","BA","WFC","RTX","MDLZ","GILD","MO","CAT","BKNG","CVS","TGT","AXP","CL","GS","MS","DUK","GE","SO","FDX","USB","BIIB","DD","EMR","COP","EXC","GD","COF","BK","MET","ALL","WBA","F","SLB","AIG","SPG","OXY"
"2006-11-01",2.827143,28.809999,37.560001,233.983978,69.860001,67.18,21.453333,63.040001,8.507,46.93,37.349998,48.299999,37.759998,33.247963,9.5,31.301645,3.935714,21.02,45.669998,33.759998,48.849998,26.540001,13.283334,53.580002,63.349998,23.32,22.752115,24.1,42.77,71.059998,41.860001,52.91,32.98,66.980003,75.279999,48.66,11.42375,51.59,24.620001,35.73,29.969999,22.690001,26.690674,29.620001,55.990002,18.469999,40.232193,74.199997,91.800003,36,500.899994,18.799999,87.309998,78.839996,149.050003,80.059998,35.990002,40.434235,34.360001,16.895,81.449997,60.5,40.529999,29.059999,57.700001,57.650002,32.005001,185,73.769997,55.436939,33.557693,36.610001,112.5,33.709999,47.77,57.841682,41.790001,45.5103,62.310001,71.550003,76.860001,35.891457,51.336899,61.040001,42.110001,8.52,62.57,1335.400024,90.048439,44.339081
"2006-11-02",2.820714,28.77,37.450001,235.190186,69.459999,67.900002,21.306667,63.27,8.76,46.900002,37.200001,48.619999,37.66,33.265949,9.75,31.272051,3.814286,20.68,45.400002,34.02,48.290001,26.690001,13.376667,53.549999,63.209999,23.355,22.771309,24.049999,42.880001,71.190002,42.049999,53,33.330002,67.790001,75.290001,48.919998,11.6,51.400002,24.469999,36.360001,29.74,22.715,26.557999,29.469999,56.369999,18.27,39.917583,74,91.68,37.049999,497.399994,18.66,87.059998,78.879997,146.970001,79.199997,35.869999,40.484581,34.41,17.002501,81.360001,60.560001,39.709999,28.860001,56.959999,57.459999,31.780001,187.389999,74.160004,54.896519,33.375,36.040001,112.089996,33.720001,47.709999,58.126335,41.48,45.5103,61.889999,70.93,76.660004,35.912655,50.891266,61.150002,42.209999,8.56,61.950001,1333.599976,88.498444,44.731888
"2006-11-03",2.796072,28.73,37.459999,236.136139,70.019997,67.809998,21.733334,63.400002,8.951,46.889999,37.200001,47.830002,37.75,33.005146,10.12,31.459484,3.814286,20.51,45.099998,33.720001,47.529999,26.549999,13.34,53.43,63.240002,23.25,22.857672,23.77,42.970001,72.150002,41.240002,51.82,33.09,68.910004,74.870003,49.009998,11.57125,50.98,24.530001,36.470001,29.57,22.547501,26.656557,29.049999,56.080002,17.780001,39.765041,73.199997,91.410004,37.02,495.899994,18.235001,87,78.580002,145.350006,79.970001,36,40.258022,33.959999,16.965,81.18,60.43,39.700001,28.790001,56.029999,57.060001,31.834999,187.130005,74.279999,54.199196,33.432693,35.77,112.07,33.57,47.52,57.798985,41.105,46.478439,60.950001,70.529999,76.559998,35.965656,50.784313,61.48,42.82,8.38,63.5,1336.400024,87.347542,45.277985
"2006-11-06",2.846786,28.84,38.209999,238.713715,71.739998,68.419998,22.393333,63.560001,9.63,47.650002,37.220001,48.41,38.540001,33.256954,10.5025,32.02179,3.894286,20.82,45.810001,34.299999,47.490002,26.99,13.616667,54.209999,63.279999,23.405001,22.776106,24.68,43.34,72.910004,41.830002,52.41,33.700001,69.769997,75.110001,49.59,11.60375,51.029999,24.73,36.139999,29.74,22.8025,26.895376,28.82,56.669998,18.1,40.041519,74.599998,92.599998,37.389999,502.200012,18.74,87.690002,79.589996,144.270004,80.480003,36.34,41.000629,34.139999,17.205,81.279999,59.849998,39.98,29.84,57.200001,58.16,32.029999,190,76.040001,53.51931,33.91346,35.689999,113.940002,33.709999,48.41,58.667179,41.279999,46.539425,60.68,71.440002,78.68,36.527454,51.096256,62.259998,43.490002,8.66,64.349998,1350,88.03437,46.49472
"2006-11-07",2.875357,28.950001,38.77,236.521515,71.419998,68.709999,22.733334,64.110001,9.25,47.490002,37.23,49.57,39.610001,33.158031,10.7325,32.406525,3.948571,20.799999,45.900002,34.299999,47.650002,27.290001,13.546667,54.419998,63.400002,23.459999,22.963228,24.84,44.360001,72.529999,41.669998,52.580002,33.099998,68.910004,75.209999,49.509998,11.55875,50.93,25.08,36.389999,29.74,22.764999,26.861259,29.33,56.98,18.200001,40.441936,75.309998,92.75,37.619999,504.799988,18.535,87.489998,79.419998,145.809998,84.849998,36.389999,41.227188,34.380001,17.4375,80.330002,59.919998,40.139999,29.93,57.32,58.450001,32.5,188.679993,75.900002,53.449577,34.173077,35.66,115.029999,33.810001,48.799999,58.112103,43.715,46.493687,59.630001,72,77.57,36.834854,51.470589,62.610001,43.610001,8.73,64.010002,1357.400024,86.76281,45.632465
"2006-11-08",2.944643,28.98,39.470001,237.737732,71.860001,67.989998,23.066668,64.040001,8.844,47.639999,37.25,48,39.810001,33.149036,10.525,32.653149,4.125714,20.709999,44.34,34.369999,47.029999,26.620001,13.616667,54.610001,63.529999,23.440001,22.684944,25.1,43.830002,74.129997,42.029999,52.470001,33.439999,69.510002,74.760002,49.450001,11.6225,52.119999,24.809999,36.279999,29.35,22.924999,27.399546,29.52,56.48,18.360001,40.356133,74.93,92.589996,37.290001,505.700012,18.665001,86.449997,79.419998,144.449997,85.449997,36.799999,41.258652,34.360001,17.245001,81.449997,60.099998,40.400002,29.620001,57.639999,59.07,32.5,188.770004,75.540001,54.16433,34.21154,35.93,114.889999,33.889999,48.66,58.211731,44,47.545685,59.599998,70.489998,77.5,36.654652,51.167557,62.59,43.279999,8.63,65.279999,1367.599976,87.02269,46.92585
"2006-11-09",2.976429,29.26,38.84,236.551544,71.32,66.150002,23.526667,63.799999,8.82,47.240002,36.849998,45.27,39.689999,32.474545,10.395,33.126671,4.131429,20.42,42.880001,33.419998,46.389999,25.84,13.556666,54.509998,62.689999,23.325001,21.994032,26.709999,43.369999,74.610001,42.09,51.740002,33.369999,70.199997,73.529999,49.02,11.595,52.52,24.58,34.830002,28.66,22.67,27.346474,29.1,54.869999,18.540001,40.232193,74.389999,92.419998,36.959999,506.100006,18.459999,85.370003,78.900002,143.229996,85.110001,36.73,40.84959,34.150002,16.764999,80.860001,59.200001,39.830002,28.610001,56.57,58.91,32.525002,184.779999,74.849998,54.234062,33.932693,35.810001,113.480003,33.849998,47.07,57.969776,43.605,48.26226,59.66,70.279999,76.419998,36.781853,51.256683,62.490002,42.110001,8.56,64.970001,1360.800049,87.523888,47.002495
"2006-11-10",2.968571,29.24,39.259998,237.012009,71.400002,66.290001,22.959999,63.700001,8.92,47.610001,36.639999,46.110001,39.41,32.006897,10.55,31.962601,4.197143,20.58,43.119999,33.049999,46.470001,25.709999,13.436666,54.77,62.549999,23.235001,22.056406,26.74,45.029999,74.419998,41.970001,52.900002,33.869999,69.540001,73.459999,48.959999,11.75875,52.990002,24.42,35.240002,28.74,22.785,27.232752,29.17,54.139999,18.780001,40.556339,75.559998,91.760002,36.060001,506.299988,18.895,85.75,79.190002,141.759995,85.620003,36.669998,40.943989,34.25,16.834999,80.93,59.599998,40.610001,28.959999,57.939999,58.860001,32.619999,187.059998,76.68,54.966248,33.817307,36.07,114.75,33.66,47.5,58.083637,43.779999,48.094551,60.049999,70.349998,77.519997,36.993851,51.639927,63.060001,42.369999,8.58,63.299999,1392.599976,87.969398,46.609688
"2006-11-13",3.0125,29.35,39.990002,240.755753,70.959999,65.940002,24,63.25,9.655,47.66,36.400002,46.75,40.09,32.330654,11,31.82449,4.212857,21,43.459999,33.060001,46.32,25.889999,13.483334,54.459999,61.41,23.205,21.90287,26.68,43.619999,74.43,41.509998,52.130001,33.779999,70.349998,72.699997,48.900002,11.765,53.310001,24.41,36.200001,28.959999,23.137501,27.501896,29,54.060001,19.18,40.96629,76.260002,92.07,36.240002,506.899994,19.219999,86.860001,79.5,141.619995,85.690002,36.490002,41.107616,34.799999,16.7675,80.839996,59.52,41.349998,28.99,57.759998,58.970001,32.435001,187.729996,77.330002,55.297478,34,36.029999,115.410004,33.700001,48.27,58.354061,44.035,48.079304,58.889999,71.300003,77.5,36.993851,51.809269,63.02,42.07,8.87,63.200001,1413,88.29425,46.14024
"2006-11-14",3.035714,29.23,41.509998,244.894897,71.199997,66.559998,24.24,63.200001,9.52,47.75,37.959999,47.439999,40.509998,32.726357,10.875,32.090843,4.155715,21.879999,43.889999,32.959999,47.66,26.25,13.52,54.830002,61.939999,23.275,22.157164,26.639999,43.709999,74.449997,41.27,52.43,34.110001,70.379997,73.139999,48.959999,11.8375,53.200001,24.440001,37.560001,29.66,22.8675,27.668688,30.23,53.849998,19.17,40.956757,77.610001,93.290001,36.540001,507.5,19.24,88.040001,80.089996,141.619995,85.739998,36.709999,41.290119,35.240002,16.9,81.139999,60.360001,40.91,28.92,59.16,59.34,32.365002,190.360001,78.230003,55.454372,34.221153,36.209999,115.5,33.720001,48.310001,58.652946,43.825001,48.37661,59.18,71.910004,77.050003,37.205853,52.183601,63.41,42.27,8.8,64.279999,1424.800049,89.111015,46.178562
